"State","partisanVotingIndexDemocratic"
"Vermont","-15"
"Hawaii","-15"
"Massachusetts","-14"
"Maryland","-14"
"California","-14"
"New York","-10"
"Washington","-8"
"Rhode Island","-8"
"Illinois","-7"
"Connecticut","-7"
"Oregon","-6"
"New Jersey","-6"
"Delaware","-6"
"New Mexico","-3"
"Colorado","-3"
"Virginia","-2"
"Minnesota","-1"
"Maine","-1"
"New Hampshire",""
"Nevada",""
"Michigan","1"
"Wisconsin","2"
"Pennsylvania","2"
"North Carolina","3"
"Georgia","3"
"Florida","3"
"Arizona","3"
"Ohio","6"
"Iowa","6"
"South Carolina","8"
"Mississippi","9"
"Alaska","9"
"Missouri","10"
"Montana","11"
"Kansas","11"
"Indiana","11"
"Louisiana","12"
"Utah","13"
"Nebraska","13"
"Tennessee","14"
"Texas","15"
"Alabama","15"
"South Dakota","16"
"Kentucky","16"
"Arkansas","16"
"Idaho","19"
"Oklahoma","20"
"North Dakota","20"
"West Virginia","23"
"Wyoming","26"